aX,aY,aZ,gX,gY,gZ
-0.321,-0.951,-0.002,3.845,3.235,4.272
-0.309,-0.961,0.013,1.709,3.479,4.822
-0.298,-0.971,0.006,-0.061,3.296,3.601
-0.280,-0.950,0.007,-2.136,5.005,2.747
-0.331,-0.958,0.022,2.625,5.981,3.235
-0.330,-0.960,0.035,1.709,5.798,0.366
-0.346,-0.978,0.031,1.221,1.648,2.136
-0.321,-0.977,0.014,1.282,1.343,0.854
-0.313,-0.967,0.016,-0.122,1.892,-0.183
-0.305,-0.936,0.014,-1.648,0.183,-0.122
-0.311,-0.958,0.011,-0.183,-0.366,2.319
-0.316,-0.963,0.010,-0.244,0.183,2.136
-0.310,-0.955,0.011,-0.427,1.953,2.319
-0.309,-0.978,0.024,0.671,3.052,2.502
-0.308,-0.973,0.026,0.549,2.136,2.258
-0.306,-0.964,0.024,1.465,1.343,1.831
-0.314,-0.965,0.007,2.136,1.099,1.404
-0.313,-0.962,0.005,2.319,1.221,1.099
-0.304,-0.962,0.015,2.991,1.892,2.319
-0.308,-0.967,0.016,1.770,1.404,1.099
-0.296,-0.936,-0.005,-1.770,-1.343,0.427
-0.313,-0.964,-0.017,0.000,1.160,2.258
-0.318,-0.987,0.042,0.122,6.287,3.479
-0.306,-0.962,0.034,-2.136,3.235,0.488
-0.308,-0.969,0.014,-1.343,1.221,0.488
-0.317,-0.946,0.002,-1.892,2.258,1.343
-0.277,-0.982,0.004,0.671,2.319,0.183
-0.285,-0.953,0.024,1.038,1.404,1.892
-0.326,-0.956,0.026,-0.122,0.793,1.282
-0.315,-0.958,0.023,-0.122,1.343,1.404
-0.344,-0.989,0.036,0.732,1.709,1.404
-0.315,-0.984,0.026,1.709,1.160,1.282
-0.338,-0.984,0.018,2.319,1.892,0.122
-0.266,-0.969,0.014,1.831,3.296,-0.183
-0.274,-0.945,0.025,1.343,3.296,-0.183
-0.267,-0.948,0.015,3.174,2.441,-0.427
-0.332,-0.967,0.027,2.869,3.479,-0.427
-0.360,-0.984,0.031,4.150,2.319,-0.549
-0.365,-0.976,0.020,3.845,2.258,-0.488
-0.303,-0.977,0.033,5.615,3.479,0.549
-0.260,-0.948,0.016,5.066,0.854,0.610
-0.260,-0.941,0.007,1.282,-0.122,0.122
-0.293,-0.937,0.009,-0.671,1.465,-1.099
-0.315,-0.955,0.011,1.831,1.831,-2.625
-0.311,-0.943,0.012,-1.404,-0.366,-3.174
-0.327,-0.954,-0.010,0.122,-1.099,-3.601
-0.321,-0.975,0.001,7.141,1.953,-2.869
-0.328,-0.978,0.009,15.503,4.944,-2.136
-0.324,-0.959,0.021,9.888,4.517,-1.160
-0.307,-0.966,0.001,3.723,3.723,-1.526
-0.276,-0.954,-0.013,4.944,2.075,-2.747
-0.280,-0.947,0.000,1.038,3.906,-2.197
-0.333,-0.944,-0.010,-0.305,0.610,-3.723
-0.400,-0.961,-0.014,5.371,2.502,-4.211
-0.387,-0.977,0.006,9.949,5.920,-2.808
-0.349,-0.982,-0.003,9.277,2.441,-0.977
-0.360,-0.969,-0.026,2.930,2.136,1.099
-0.300,-0.953,-0.017,2.869,6.226,-1.282
-0.297,-0.930,-0.006,1.587,7.141,-1.892
-0.299,-0.926,-0.032,3.906,-0.183,-0.427
-0.385,-0.958,-0.051,6.958,-1.404,-1.587
-0.411,-0.947,-0.013,5.249,6.836,-0.793
-0.384,-0.979,0.024,6.714,5.249,-1.099
-0.338,-0.965,-0.016,4.578,0.427,-2.319
-0.315,-0.967,-0.019,6.104,3.662,-3.296
-0.324,-0.935,-0.025,5.859,2.502,-3.235
-0.374,-0.921,-0.052,2.075,-1.770,1.099
-0.352,-0.956,-0.057,2.258,1.953,-5.310
-0.349,-0.965,-0.028,4.883,6.592,1.709
-0.335,-0.963,-0.028,2.563,5.798,0.000
-0.357,-0.928,-0.038,-0.916,3.662,0.732
-0.360,-0.949,-0.043,-1.160,2.808,0.854
-0.408,-0.940,-0.044,0.549,3.601,0.183
-0.409,-0.972,-0.006,3.235,5.432,-0.549
-0.376,-0.964,-0.021,1.221,2.747,-1.465
-0.379,-0.966,-0.030,1.221,2.319,-0.305
-0.315,-0.939,-0.035,4.578,2.441,0.549

-0.332,-0.939,-0.047,6.042,1.160,0.793
-0.344,-0.928,-0.053,3.662,1.465,0.183
-0.399,-0.945,-0.041,4.211,2.441,0.610
-0.398,-0.951,-0.031,6.653,3.906,1.526
-0.411,-0.966,-0.023,3.174,5.676,1.282
-0.398,-0.950,-0.042,2.136,3.296,-0.183
-0.358,-0.954,-0.051,1.892,4.395,1.038
-0.311,-0.939,-0.042,2.197,4.883,1.221
-0.323,-0.932,-0.048,3.357,2.747,0.122
-0.359,-0.934,-0.039,1.343,2.502,0.427
-0.412,-0.949,-0.035,0.427,0.977,-0.061
-0.405,-0.941,-0.033,1.648,2.319,0.610
-0.361,-0.942,-0.029,1.892,1.221,0.793
-0.378,-0.948,-0.049,-0.061,-0.610,0.061
-0.371,-0.931,-0.048,-2.625,1.587,0.427
-0.359,-0.946,-0.032,1.160,1.953,1.465
-0.372,-0.951,-0.038,4.150,0.610,2.014
-0.372,-0.944,-0.032,2.380,0.244,1.343
-0.364,-0.938,-0.023,-1.892,0.061,1.404
-0.367,-0.953,-0.038,-0.122,-2.075,1.221
-0.374,-0.956,-0.049,1.465,-0.732,1.099
-0.355,-0.945,-0.031,-0.366,0.977,0.671
-0.361,-0.942,-0.047,0.305,-1.160,-0.122
-0.371,-0.946,-0.075,2.075,-0.366,0.549
-0.369,-0.953,-0.052,2.625,3.174,0.427
-0.367,-0.956,-0.034,1.282,3.906,-0.549
-0.379,-0.934,-0.047,-3.296,2.319,-2.563
-0.363,-0.922,-0.026,-1.831,-2.380,-2.502
-0.395,-0.939,-0.103,6.042,2.991,2.197
-0.372,-0.942,-0.046,6.470,5.371,5.249
-0.336,-0.934,-0.029,3.479,4.456,3.906
-0.368,-0.949,-0.039,1.953,0.793,2.197
-0.365,-0.942,-0.051,2.686,1.160,1.404
-0.354,-0.951,-0.035,2.930,2.930,0.610
-0.375,-0.954,-0.037,3.418,2.625,1.953
-0.367,-0.962,-0.040,2.991,2.686,1.770
-0.368,-0.952,-0.052,1.648,2.197,1.282
-0.383,-0.953,-0.050,1.465,1.831,-2.075
-0.343,-0.930,-0.048,2.808,1.526,15.320
-0.331,-0.925,-0.056,3.723,0.244,5.432
-0.465,-0.956,-0.053,3.418,1.160,6.653
-0.357,-0.931,-0.049,0.793,1.099,-0.549
-0.379,-0.936,-0.056,0.366,0.061,0.366
-0.368,-0.938,-0.048,-0.244,1.160,0.305
-0.366,-0.933,-0.058,15.442,0.183,1.587
-0.373,-0.945,-0.062,2.197,0.671,3.052
-0.360,-0.952,-0.044,0.977,1.770,3.113
-0.358,-0.949,-0.047,0.916,0.977,1.343
-0.367,-0.939,-0.065,0.671,0.549,0.610
-0.370,-0.940,-0.069,0.793,1.770,1.892
