aX,aY,aZ,gX,gY,gZ
-0.191,0.023,0.953,-0.427,1.038,-0.061
-0.188,0.026,0.954,-0.916,1.221,0.183
-0.158,0.029,0.954,-0.549,1.648,-0.183
-0.184,0.024,0.951,-0.793,1.770,0.366
-0.183,0.021,0.953,-1.465,1.892,-0.366
-0.187,0.026,0.953,-2.319,1.404,-0.854
-0.188,0.040,0.951,-3.174,1.587,0.122
-0.182,0.057,0.951,-1.953,1.587,0.427
-0.157,0.052,1.001,-4.639,1.221,3.723
-0.165,0.018,0.966,6.897,0.732,1.953
-0.197,0.050,0.937,-1.282,1.160,1.160
-0.187,0.024,0.956,1.709,1.465,0.549
-0.200,0.039,0.950,1.221,0.366,0.183
-0.198,0.046,0.946,-2.136,1.099,1.587
-0.179,0.030,0.962,-0.183,2.258,2.197
-0.182,0.037,0.949,-0.793,0.244,0.122
-0.192,0.047,0.953,-2.014,1.099,0.244
-0.195,0.050,0.951,-1.160,1.282,0.549
-0.195,0.056,0.950,-0.977,1.648,2.197
-0.192,0.049,0.962,0.916,2.319,1.465
-0.188,0.047,0.949,1.770,1.953,1.221
-0.185,0.044,0.952,0.427,2.258,1.526
-0.183,0.047,0.958,-0.366,1.892,1.526
-0.182,0.054,0.958,0.244,1.648,1.282
-0.182,0.053,0.956,0.854,1.404,1.465
-0.187,0.052,0.954,1.465,1.282,1.160
-0.191,0.048,0.953,1.892,1.587,1.160
-0.194,0.047,0.952,0.854,1.221,1.526
-0.193,0.047,0.952,0.916,1.648,1.160
-0.191,0.045,0.954,1.160,1.831,1.160
-0.190,0.047,0.951,0.244,1.709,1.221
-0.188,0.048,0.956,0.244,2.014,1.099
-0.187,0.051,0.956,0.610,1.770,0.854
-0.188,0.049,0.952,1.099,1.953,1.099
-0.189,0.047,0.954,0.854,1.709,0.916
-0.189,0.050,0.951,0.793,1.587,0.854
-0.187,0.053,0.956,0.610,1.709,1.282
-0.186,0.054,0.956,1.038,1.465,1.404
-0.185,0.052,0.957,1.282,1.587,1.953
-0.188,0.045,0.950,1.892,1.587,1.526
-0.194,0.042,0.953,1.526,2.075,1.160
-0.196,0.043,0.952,0.488,1.526,1.160
-0.196,0.050,0.950,0.183,1.587,1.038
-0.190,0.055,0.955,-0.061,2.014,1.587
-0.185,0.055,0.958,0.427,2.014,1.831
-0.186,0.049,0.955,1.709,2.075,1.343
-0.187,0.053,0.954,1.343,1.831,1.282
-0.189,0.060,0.956,0.732,1.526,1.953
-0.189,0.061,0.960,1.648,1.892,2.441
-0.190,0.059,0.956,3.174,2.014,2.502
-0.192,0.049,0.950,3.906,1.953,3.235
-0.187,0.030,0.952,3.418,2.014,3.174
-0.182,0.022,0.953,2.502,1.465,1.953
-0.182,0.028,0.951,1.831,1.099,0.549
-0.187,0.042,0.952,0.793,0.916,-0.671
-0.202,0.055,0.953,0.854,1.160,-0.427
-0.203,0.054,0.950,2.197,2.197,0.671
-0.195,0.040,0.951,2.258,2.747,1.648
-0.189,0.029,0.950,1.404,2.808,1.282
-0.186,0.031,0.956,0.000,2.502,0.244
