aX,aY,aZ,gX,gY,gZ
-0.132,-0.045,0.967,1.282,1.160,1.892
-0.087,-0.003,0.961,0.732,1.587,1.587
-0.042,0.005,0.960,0.977,1.953,1.038
-0.070,-0.033,0.967,0.977,1.709,1.953
-0.066,-0.025,0.965,1.282,1.404,1.404
-0.087,-0.021,0.973,0.793,1.404,1.953
-0.088,-0.016,0.970,0.671,1.099,1.953
-0.086,-0.021,0.960,1.160,1.221,2.014
-0.087,-0.021,0.967,0.427,1.709,1.831
-0.079,-0.027,0.963,1.770,1.953,1.831
-0.086,-0.027,0.962,0.793,1.892,0.610
-0.088,-0.021,0.975,0.977,2.197,0.854
-0.089,-0.013,0.971,1.587,1.587,1.038
-0.094,-0.014,0.964,1.770,1.709,1.160
-0.051,0.009,0.971,1.038,2.075,2.136
-0.043,-0.013,0.966,0.977,2.197,1.831
-0.101,-0.050,0.980,0.671,1.526,1.587
-0.129,-0.043,0.965,1.526,0.732,1.343
-0.133,-0.049,0.969,0.793,1.099,1.648
-0.079,-0.008,0.967,0.244,1.221,1.831
-0.036,0.001,0.958,0.610,1.648,1.221
-0.076,0.009,0.964,0.854,1.892,0.610
-0.068,-0.025,0.968,0.549,1.343,1.160

-0.091,-0.012,0.971,1.099,0.671,0.916
-0.090,-0.014,0.961,1.404,0.671,1.160
-0.095,-0.017,0.962,0.488,1.892,1.648
-0.091,-0.019,0.967,0.916,2.197,2.563
-0.086,-0.021,0.970,0.671,2.075,2.625
-0.086,-0.024,0.969,0.916,1.526,2.075
-0.088,-0.026,0.967,0.793,1.587,1.831
-0.092,-0.024,0.964,0.732,1.343,1.526
-0.092,-0.022,0.961,1.038,1.343,1.282
-0.089,-0.023,0.965,1.099,1.953,1.282
-0.124,-0.041,0.963,0.977,2.014,1.221
-0.061,0.006,0.965,0.854,1.892,1.404
-0.045,0.000,0.958,1.099,2.136,0.854
-0.101,-0.041,0.969,0.427,2.014,1.099
-0.089,-0.042,0.968,1.282,1.648,1.099
-0.139,-0.041,0.975,1.038,1.892,1.343
-0.099,0.000,0.970,0.244,1.465,1.953
-0.045,0.009,0.952,0.977,1.892,1.648
-0.046,0.012,0.961,0.183,2.625,1.770
-0.056,-0.019,0.967,0.366,2.686,1.648
-0.118,-0.053,0.981,0.488,1.831,1.465
-0.124,-0.026,0.978,0.916,0.793,1.282
-0.132,-0.031,0.974,0.610,0.916,1.526
-0.069,0.009,0.966,0.793,1.099,1.770
-0.044,0.003,0.963,0.549,1.221,1.587
-0.098,-0.037,0.961,1.038,0.916,1.587
-0.136,-0.041,0.972,0.549,1.831,1.587
-0.138,-0.040,0.973,0.854,1.770,1.709
-0.085,-0.011,0.970,0.916,2.380,1.892
-0.093,-0.013,0.968,0.427,1.953,1.770
-0.094,-0.013,0.971,0.610,2.319,2.136
-0.093,-0.014,0.974,0.916,1.648,2.380
-0.089,-0.016,0.974,0.916,1.404,2.502
-0.089,-0.017,0.973,0.793,0.854,2.197
-0.089,-0.017,0.967,1.038,0.793,2.136
-0.090,-0.016,0.958,0.854,0.977,2.136
-0.095,-0.021,0.951,0.732,1.892,1.709
-0.089,-0.024,0.959,0.549,2.747,1.892
-0.089,-0.022,0.970,0.244,2.930,1.221
-0.087,-0.020,0.972,1.282,2.808,0.427
-0.093,-0.008,0.973,0.854,2.197,0.366
-0.092,-0.006,0.973,1.404,1.648,0.610
-0.092,-0.011,0.967,1.343,1.465,0.916
-0.101,-0.010,0.958,1.526,2.136,1.099
-0.089,-0.012,0.970,0.671,2.075,2.441
-0.087,-0.022,0.962,1.160,2.014,1.770
-0.082,-0.023,0.971,0.793,2.502,1.526
-0.080,-0.020,0.976,0.610,1.953,0.916
-0.070,0.006,0.971,0.732,1.282,0.427
-0.054,0.012,0.961,1.526,0.977,0.793
-0.112,-0.026,0.962,1.648,1.221,1.160
-0.136,-0.034,0.968,2.136,1.709,2.258
-0.086,-0.001,0.972,1.160,1.892,2.380
-0.096,-0.004,0.968,1.526,2.258,2.136
-0.044,0.010,0.963,1.160,2.380,1.953
-0.072,-0.021,0.967,0.977,2.014,1.526
-0.127,-0.045,0.977,1.648,2.075,1.526
-0.119,-0.023,0.973,1.648,1.526,1.526
-0.130,-0.028,0.972,1.343,2.136,1.831
-0.065,0.007,0.970,1.160,2.258,2.075
-0.048,-0.005,0.971,1.221,2.014,1.831
-0.105,-0.039,0.962,2.258,1.465,1.526
-0.094,-0.043,0.960,1.526,1.770,1.587
